character,sentence,line,document,shengmu,yunmu,shengdiao,bihua,cixing,sentiment,sentiment_score
名,士则以身殉名,"故尝试论之：自三代以下者，天下莫不以物易其性矣！小人则以身殉利；士则以身殉名；大夫则以身殉家；圣人则以身殉天下。故此数子者，事业不同，名声异号，其于伤性以身为殉，一也。
",/Users/danebrown/develop/nlp/庄子.txt,m,ing,2,6,q,positive,0.999869047876371
名,名声异号,"故尝试论之：自三代以下者，天下莫不以物易其性矣！小人则以身殉利；士则以身殉名；大夫则以身殉家；圣人则以身殉天下。故此数子者，事业不同，名声异号，其于伤性以身为殉，一也。
",/Users/danebrown/develop/nlp/庄子.txt,m,ing,2,6,q,positive,0.999869047876371
之,故尝试论之,"故尝试论之：自三代以下者，天下莫不以物易其性矣！小人则以身殉利；士则以身殉名；大夫则以身殉家；圣人则以身殉天下。故此数子者，事业不同，名声异号，其于伤性以身为殉，一也。
",/Users/danebrown/develop/nlp/庄子.txt,zh,i,1,3,u,positive,0.999869047876371
邪,何以知其然邪,"夫小惑易方，大惑易性。何以知其然邪？自虞氏招仁义以挠天下也，天下莫不奔命于仁义。是非以仁义易其性与？
",/Users/danebrown/develop/nlp/庄子.txt,x,ie,2,6,a,positive,0.9955124771293722
然,何以知其然邪,"夫小惑易方，大惑易性。何以知其然邪？自虞氏招仁义以挠天下也，天下莫不奔命于仁义。是非以仁义易其性与？
",/Users/danebrown/develop/nlp/庄子.txt,r,an,2,12,c,positive,0.9955124771293722
非,是非以仁义易其性与,"夫小惑易方，大惑易性。何以知其然邪？自虞氏招仁义以挠天下也，天下莫不奔命于仁义。是非以仁义易其性与？
",/Users/danebrown/develop/nlp/庄子.txt,f,ei,1,8,h,positive,0.9955124771293722
家,大夫则以身殉家,"故尝试论之：自三代以下者，天下莫不以物易其性矣！小人则以身殉利；士则以身殉名；大夫则以身殉家；圣人则以身殉天下。故此数子者，事业不同，名声异号，其于伤性以身为殉，一也。
",/Users/danebrown/develop/nlp/庄子.txt,j,ia,1,10,q,positive,0.999869047876371
